Unnamed: 0,L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes
1525,CCCCCCCCN1N=C2C(C3=NC=CC4=CC=CC=C34)=[C-]C=C(C3=CC=C(N(C4=CC=C(C(C)(C)C)C=C4)C4=CC=C(C(C)(C)C)C=C4)C=C3)C2=N1,CCCCCCCCN1N=C2C(C3=NC=CC4=CC=CC=C34)=[C-]C=C(C3=CC=C(N(C4=CC=C(C(C)(C)C)C=C4)C4=CC=C(C(C)(C)C)C=C4)C=C3)C2=N1,O=C([O-])C1=CC=CC=N1,,(tBuTPA-BTzIq)2Irpic,0.0,716.0,0.005,,CH2Cl2,10.1016/j.dyepig.2019.03.047,
1526,CCCCCCCCN1N=C2C(C3=NC=CC4=CC=CC=C34)=[C-]C=C(C3=CC=C(N(C4=CC=C(F)C=C4)C4=CC=C(F)C=C4)C=C3)C2=N1,CCCCCCCCN1N=C2C(C3=NC=CC4=CC=CC=C34)=[C-]C=C(C3=CC=C(N(C4=CC=C(F)C=C4)C4=CC=C(F)C=C4)C=C3)C2=N1,O=C([O-])C1=CC=CC=N1,,(FTPA-BTz-Iq)2Irpic,0.0,712.0,0.003,,CH2Cl2,10.1016/j.dyepig.2019.03.047,
1527,FC1=CC=C(C2=C[C-]=C(N3C=C4C=CC=CC4=N3)C=C2)C(F)=C1,FC1=CC=C(C2=C[C-]=C(N3C=C4C=CC=CC4=N3)C=C2)C(F)=C1,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C3=CC=CC=C3)=C2OC2=C(P(C3=CC=CC=C3)C3=CC=CC=C3)C=CC=C21,F[P-](F)(F)(F)(F)F,Ir1,1.0,547.0,0.725,1.38,CH2Cl2,10.1002/jccs.201900141,
1528,FC1=CC(F)=CC(C2=C[C-]=C(N3C=C4C=CC=CC4=N3)C=C2)=C1,FC1=CC(F)=CC(C2=C[C-]=C(N3C=C4C=CC=CC4=N3)C=C2)=C1,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C3=CC=CC=C3)=C2OC2=C(P(C3=CC=CC=C3)C3=CC=CC=C3)C=CC=C21,F[P-](F)(F)(F)(F)F,Ir2,1.0,551.0,0.497,1.65,CH2Cl2,10.1002/jccs.201900141,
1529,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2O1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2O1,C1=CC=C(C2=CC=C[N-]2)N=C1,,2a,0.0,518.0,0.352,,CH2Cl2,10.17344/acsi.2018.4876,
1530,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2O1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2O1,C1=C[N-]C(C2=CN=CC=N2)=C1,,2b,0.0,529.0,0.461,,CH2Cl2,10.17344/acsi.2018.4876,
1531,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,1e,1.0,560.0,0.14,0.474,CH3OH,10.1021/acs.inorgchem.9b00220,measured in air-saturated solutions
1532,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,C1=CN=C(C2=NC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,1f,1.0,680.0,0.0004,0.142,CH3OH,10.1021/acs.inorgchem.9b00220,measured in air-saturated solutions
1533,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,CC1=CC=NC(C2=CC(C)=CC=N2)=C1,F[P-](F)(F)(F)(F)F,1g,1.0,560.0,0.12,0.466,CH3OH,10.1021/acs.inorgchem.9b00220,measured in air-saturated solutions
1534,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,COC1=CC=NC(C2=CC(OC)=CC=N2)=C1,F[P-](F)(F)(F)(F)F,1h,1.0,562.0,0.14,0.417,CH3OH,10.1021/acs.inorgchem.9b00220,measured in air-saturated solutions
1535,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,2,1.0,610.0,0.0089,0.103,CH3OH,10.1021/acs.inorgchem.9b00220,measured in air-saturated solutions
1536,CN(C)C1=CC=NC(C2=[C-]C=CC=C2)=C1,CN(C)C1=CC=NC(C2=[C-]C=CC=C2)=C1,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,1,1.0,620.0,0.03,0.17,CH3CN,10.1016/j.dyepig.2019.03.003,
1537,CN(C)C1=CC=NC(C2=[C-]C=CC=C2)=C1,CN(C)C1=CC=NC(C2=[C-]C=CC=C2)=C1,C1=CC=C(N2C=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,2,1.0,526.0,0.12,0.65,CH3CN,10.1016/j.dyepig.2019.03.003,
1538,CN(C)C1=CC=NC(C2=[C-]C=CC=C2)=C1,CN(C)C1=CC=NC(C2=[C-]C=CC=C2)=C1,CN(C)C1=CC=NC(N2C=CC=N2)=C1,F[P-](F)(F)(F)(F)F,3,1.0,464.0,0.04,0.11,CH3CN,10.1016/j.dyepig.2019.03.003,
1539,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,CN1C2=CC=CC=C2C(C)(C)C1C1=NC2=C3C=CC=NC3=C3N=CC=CC3=C2O1,F[P-](F)(F)(F)(F)F,Ir-TMLOP,1.0,585.0,0.063,,CH2Cl2,10.1016/j.ica.2019.04.009,
1540,[C-]1=CC=CC=C1C1=NC=C(C2=CC=CC=C2)O1,[C-]1=CC=CC=C1C1=NC=C(C2=CC=CC=C2)O1,COC(=O)C1=CC=CC(/C([O-])=C/C(=O)C2=CC=CS2)=C1,,1,0.0,550.0,0.0009,0.0011,CH2Cl2,10.1002/ejic.202000372,
1541,ClC1=C[C-]=C(C2=NC3=CC=CC=C3N2C2=CC=CC=C2)C=C1,ClC1=C[C-]=C(C2=NC3=CC=CC=C3N2C2=CC=CC=C2)C=C1,COC(=O)C1=CC=CC(/C([O-])=C/C(=O)C2=CC=CS2)=C1,,2,0.0,527.0,0.0006,0.0592,CH2Cl2,10.1002/ejic.202000372,
1542,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2N1C1=CC=CC=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2N1C1=CC=CC=C1,COC(=O)C1=CC=CC(/C([O-])=C/C(=O)C2=CC=CS2)=C1,,3,0.0,533.0,0.0005,0.0012,CH2Cl2,10.1002/ejic.202000372,
1543,COC1=C[C-]=C(C2=NC3=CC=CC=C3N2C2=CC=CC=C2)C=C1OC,COC1=C[C-]=C(C2=NC3=CC=CC=C3N2C2=CC=CC=C2)C=C1OC,COC(=O)C1=CC=CC(/C([O-])=C/C(=O)C2=CC=CS2)=C1,,4,0.0,537.0,0.0003,0.0012,CH2Cl2,10.1002/ejic.202000372,
1544,[C-]1=C(C2=NC3=CC=CC=C3N2C2=CC=CC=C2)SC=C1,[C-]1=C(C2=NC3=CC=CC=C3N2C2=CC=CC=C2)SC=C1,COC(=O)C1=CC=CC(/C([O-])=C/C(=O)C2=CC=CS2)=C1,,5,0.0,553.0,0.0009,0.0072,CH2Cl2,10.1002/ejic.202000372,
1545,FC(F)(F)C1=C[C-]=C(C2=NC=NC3=CC=CC=C23)C=C1,FC(F)(F)C1=C[C-]=C(C2=NC=NC3=CC=CC=C23)C=C1,CC1=CC=NC2=C([O-])C=CN=C12,,Ir(4tfmpq)2mND,0.0,626.0,0.934,1.86,CH2Cl2,10.1021/acsami.9b02558,
1546,FC(F)(F)C1=C[C-]=C(C2=NC=NC3=CC=CC=C23)C=C1,FC(F)(F)C1=C[C-]=C(C2=NC=NC3=CC=CC=C23)C=C1,CC1=CC([O-])=C2N=CC=C(C)C2=N1,,Ir(4tfmpq)2mmND,0.0,630.0,0.884,1.95,CH2Cl2,10.1021/acsami.9b02558,
